dataset,feature_mode,method,detection_type,k,alarm_precision,event_recall,alarm_event_f1,precision,recall,f1,true_positive_alarms,false_positives,false_alarm_rate_per_hour,detection_delay_seconds_mean,detection_delay_seconds_median,runtime_seconds,number_of_alarms,event_level_detection_count,event_count
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spatial,4,0.18089430894308944,0.9166666666666666,0.3021604938271605,0.18089430894308944,0.9166666666666666,0.3021604938271605,178,806,358.79807097811306,18.636363636363637,14.0,6.942902999988291,984,11,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,spatial,5,0.19455252918287938,0.5833333333333334,0.2917882451021259,0.19455252918287938,0.5833333333333334,0.2917882451021259,50,207,92.14789167800174,89.71428571428571,67.0,6.942902999988291,257,7,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,temporal,1,0.0,0.0,0.0,0.0,0.0,0.0,0,12,5.34190676394213,,,6.942902999988291,12,0,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,temporal,2,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4.896747866946952,,,6.942902999988291,11,0,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,temporal,3,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4.896747866946952,,,6.942902999988291,11,0,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,temporal,4,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4.896747866946952,,,6.942902999988291,11,0,12
bgpclear_apptraffic_2hourRun,CompleteFeatures,MiniBatchKMeans,temporal,5,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4.896747866946952,,,6.942902999988291,11,0,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spatial,1,0.5132743362831859,0.9166666666666666,0.6580711707065497,0.5132743362831859,0.9166666666666666,0.6580711707065497,116,110,48.96747866946952,9.909090909090908,10.0,0.776478500047233,226,11,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spatial,2,0.41818181818181815,0.9166666666666666,0.5743473325766175,0.41818181818181815,0.9166666666666666,0.5743473325766175,23,32,14.245084703845679,19.727272727272727,18.0,0.776478500047233,55,11,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spatial,3,0.5714285714285714,0.5,0.5333333333333333,0.5714285714285714,0.5,0.5333333333333333,8,6,2.670953381971065,21.166666666666668,20.5,0.776478500047233,14,6,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spatial,4,1.0,0.16666666666666666,0.2857142857142857,1.0,0.16666666666666666,0.2857142857142857,2,0,0.0,18.0,18.0,0.776478500047233,2,2,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,spatial,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,0.776478500047233,0,0,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,1,0.2734375,0.9166666666666666,0.42122538293216627,0.2734375,0.9166666666666666,0.42122538293216627,35,93,41.3997774205515,9.909090909090908,10.0,0.776478500047233,128,11,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,2,0.2845528455284553,0.9166666666666666,0.43429216018048505,0.2845528455284553,0.9166666666666666,0.43429216018048505,35,88,39.173982935575616,15.272727272727273,15.0,0.776478500047233,123,11,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,3,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,18,0,0.0,27.3,22.5,0.776478500047233,18,10,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,4,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8333333333333334,0.9090909090909091,13,0,0.0,32.8,28.0,0.776478500047233,13,10,12
bgpclear_apptraffic_2hourRun,ControlPlane,DenStream,temporal,5,1.0,0.5833333333333334,0.7368421052631579,1.0,0.5833333333333334,0.7368421052631579,8,0,0.0,48.857142857142854,61.0,0.776478500047233,8,7,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spatial,1,0.06643211920529801,0.9166666666666666,0.12388604308469581,0.06643211920529801,0.9166666666666666,0.12388604308469581,321,4511,2008.1117843452455,52.09090909090909,11.0,2.7656265000696294,4832,11,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spatial,2,0.1212733703890854,0.9166666666666666,0.2142074729197939,0.1212733703890854,0.9166666666666666,0.2142074729197939,240,1739,774.1313218746136,28.545454545454547,15.0,2.7656265000696294,1979,11,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spatial,3,0.21293375394321767,0.8333333333333334,0.33919597989949746,0.21293375394321767,0.8333333333333334,0.33919597989949746,135,499,222.13428960059355,18.7,16.5,2.7656265000696294,634,10,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spatial,4,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.3333333333333333,0.8333333333333334,0.47619047619047616,56,112,49.85779646345988,44.5,38.5,2.7656265000696294,168,10,12
